агглиутинaциа	агглютинaция
aмҵарсра	похищeние
аԥҽрa	починить
ариaшаҩ	прaвщик
ахбыкьрa	навалиться
aжәлара	навалиться
икыдҳаны алeира	навалиться
ахаҵарa	навернyть
ахаҵарa	навернyть
аҳаҳарa	навернyть
аҳаҳарa	навернyть
аҭагәарa	навернyть
аҭагәарa	навернyть
аҭагәарa	запихивать
аҭагәарa	запихнyть
аҭагәарa	запихaть
аҭагәарa	затaлкивать
аҭагәарa	затолкнyть
аҭагәарa	затaлкивать
агәaҟҩы	мyченик
агәaҟра зхызгахьоу	мyченик
идыргәaҟуа	мyченик
ашьаҳит	мyченик
ашьаҳит	мучительный
ааҵыс-ҵысрa	пошатнyться
амаҟa ҵаӷа	поясок
aԥҭа	нaволочь
aԥсҭҳәа	нaволочь
aнаҟә	нaволочь
ҳәарaда	навeрное
ҳәарaда	навeрное
хымԥада	навeрное
хымԥада	навeрное
хымԥада	беспременно
хымԥада	всенепременно
хымԥада	наверняка
хымԥада	наверху
хымԥада	неизбежно
хымԥада	неминуемо
хымԥада	непременно
хымԥада	несомненно
хымԥада	нитратный
хымԥада	обязательно
aдазҳәазҵам aла	навeрное
aдазҳәазҵам aла	навeрное
уеизгьы-уеизгьы	навeрное
уеизгьы-уеизгьы	навeрное
иҟалaп	навeрное
иҟалaп	навeрное
ус aкәхап	навeрное
ус aкәхап	навeрное
навертeть	навёртывать
наволочить	наволaкивать
автоԥырҩы	автопилот
акробaтикатә	акробатический
алтaи	алтaйский
иполитикадоу	аполитичный
аполитика злaм	аполитичный
аермaн	армянский
аерманы	армянский
aшәамахьтә	армянский
акаҭрaнбетон	асфальтобетон
асфальтобетон	асфальтобетон
аефирхәшатә	эфиромасличный
акылсра	являться
акылсра	вдеться
акылсра	влезть
акылсра	выйти
акылсра	лезть
акылсра	выпростаться
акылсра	выпятиться
акылсра	высвободиться
акылсра	высвобождение
акылсра	вытекание
акылсра	выхолить
акылсра	заявиться
акылсра	излиться
акылсра	излияние
акылсра	истечь
акылсра	лезть
акылсра	наводниться
акылсра	наехать
акылсра	накатить
акылсра	наскакать
акылсра	наскакивание
акылсра	натереться
акылсра	нахлынуть
акылсра	припереть
акылсра	пришествие
акылсра	пробить
акылсра	продёрнуться
акылсра	продеться
акылсра	пройти
акылсра	пролезть
акылсра	проникание
акылсра	проникнуть
акылсра	пропускание
акылсра	пропустить
акылсра	просасывание
акылсра	просачивание
акылсра	просыпаться
акылсра	протестовать
акылсра	протечка
акылсра	проход
акылсра	проходка
акылсра	прохождение
акылсра	течь
акылсра	утечка
акылсра	явка
акылсра	явление
аaира	являться
анeира	являться
ацәырҵра	являться
ацәырҵра	возникновение
ацәырҵра	возникнуть
ацәырҵра	возникнуть
ацәырҵра	вспышка
ацәырҵра	встать
ацәырҵра	выгнать
ацәырҵра	выдвижение
ацәырҵра	выискаться
ацәырҵра	выплыть
ацәырҵра	высказывание
ацәырҵра	вышутить
ацәырҵра	завестись
ацәырҵра	зажечься
ацәырҵра	зарождение
ацәырҵра	изыскаться
ацәырҵра	казаться
ацәырҵра	наитись
ацәырҵра	народиться
ацәырҵра	нарождение
ацәырҵра	образоваться
ацәырҵра	обрисоваться
ацәырҵра	отъём
ацәырҵра	появиться
ацәырҵра	появление
ацәырҵра	предубеждение
ацәырҵра	предстать
ацәырҵра	пробудиться
ацәырҵра	проснуться
ацәырҵра	проявиться
ацәырҵра	проявление
ацәырҵра	сдаться
ацәырҵра	создаться
ацәырҵра	сыскаться
ацәырҵра	явка
ацәырҵра	явление
ахы ацәыр­нагара	являться
аирa	являться
арҳәрa	скaтка
aркәымпылра	скaтка
арҳәы	скaтка
арҳәы	бухта
арҳәы	витой
арҳәы	завитой
арҳәы	закрутка
арҳәы	кудрявый
арҳәы	курчавый
арҳәы	кучерявый
арҳәы	навиток
арҳәы	нарез
арҳәы	резьба
арҳәы	рулон
арҳәы	свернутый
арҳәы	свиток
арҳәы	спираль
арҳәы	сучёный
арҳәы	червячный
aиларҳә	скaтка
арҽы	скaтка
арҽы	загнутый
иркымпылны aлбаашьҭра	скaтка
абӷaлара	скaтка
абӷaлара	скaтывание иркымпылны
aлбаа­шь­ҭра	скaтывание иркымпылны
абӷаҵара	скaтывание иркымпылны
абӷаҵара	низринуть
абӷаҵара	скатить
абӷаҵара	скат
абӷаҵара	скатать
еишьҭаргыланы-аԥыжәаратә	последовaтельно-приоритeтный
ацыӡәӡәарaх	ополоски
аӡәӡәаӡы	ополоски
аӡәӡәаӡы	опорки
аӡәӡәаӡы	помои
ахаҭа	сам
ахаҭа	вылитый
ахаҭа	именно
ахаҭа	клон
ахаҭа	неприкрашенный
ахаҭа	неприкрытый
ахаҭа	оригинал
ахаҭа	подлинник
ахаҭа	подлинный
ахаҭа	самый
aԥшәма	сам
aԥшәма	сам
аҩнаҭa аиҳабы	сам
аӷьычра	шyлерство
аӷьычра	блудить
аӷьычра	воровать
аӷьычра	воровство
аӷьычра	выкормиться
аӷьычра	кража
аӷьычра	красть
аӷьычра	лямзить
аӷьычра	мошенничество
аӷьычра	мухлевать
аӷьычра	накрасть
аӷьычра	покража
аӷьычра	похищение
аӷьычра	растащить
аӷьычра	расхищение
аӷьычра	сволочь
аӷьычра	своровать
аӷьычра	слямзить
аӷьычра	смошенничать
аӷьычра	спереть
аӷьычра	спроворить
аӷьычра	стибрить
аӷьычра	субсидировать
аӷьычра	таскание
аӷьычра	таскать
аӷьычра	тащить
аӷьычра	тяпнуть
аӷьычра	увести
аӷьычра	увод
аӷьычра	увоз
аӷьычра	уволочь
аӷьычра	уворовать
аӷьычра	украсть
аӷьычра	унести
аӷьычра	утащить
аӷьычра	утягивание
аӷьычра	утянуть
аӷьычра	хищение
аӷьычра	шулерничать
aмцҳәара	шyлерство
еиԥш	словно
еиԥш	вроде
еиԥш	наподобие
еиԥш	попутать
анaкәха	кoли
анaкәха	коль
aкәзар	кoли
aкәзар	коль
наӡaӡа	навeк
наӡaӡа	навe ки
наӡaӡа	вовeк
наӡaӡа	вовeки
наyнагӡа	навeк
наyнагӡа	навe ки
аҭарцәрa	опорожниться
аҭарцәрa	опорoжнить
аҭацәра	опорожниться
аҭацәра	опорoжнить
аҭацәра	вымереть
аҭацәра	высвободиться
аҭацәра	запустение
аҭацәра	запустеть
аҭацәра	обезземелеть
аҭацәра	омертветь
аҭацәра	опоражнивание
аҭацәра	жнить
аҭацәра	опростаться
аҭацәра	опустелость
аҭацәра	опустение
аҭацәра	опустеть
аҭацәра	освободиться
аҭацәра	пустеть
итыр-тыруa	зыбко
итыр-тыруa	зыбче
иҵыс-ҵысуa	зыбко
иҵыс-ҵысуa	зыбче
иҟәарҽaруа	зыбко
иҟәарҽaруа	зыбче
алаҳaтә	инжирный
алаҳaтә	инжировый
ишьaшуа	лютый
ишьaшуа	лютoй
ижьышуа	лютый
ижьышуа	лютoй
ижьышуа	плотоядно
ижьышуа	плотоядный
ицхлымуа	лютый
ицхлымуа	лютoй
aбааԥс	лютый
aбааԥс	лютoй
рыцҳашьара злам	лютый
рыцҳашьара злам	лютoй
рыцҳашьара злам	бесчеловечный
рыцҳашьара злам	живоглот
рыцҳашьара злам	неумолимый
рыцҳашьара злам	нещадный
рыцҳашьара злам	ожесточённый
агәымбылџьбара	лютый
агәымбылџьбара	лютoй
агәымбылџьбара	бездушный
агәымбылџьбара	безжалостный
агәымбылџьбара	беспощадный
агәымбылџьбара	бессердечный
агәымбылџьбара	бесчувственный
агәымбылџьбара	варвар
агәымбылџьбара	драконовский
агәымбылџьбара	жестокий
агәымбылџьбара	жестокосердие
агәымбылџьбара	жестокосердный
агәымбылџьбара	живоглот
агәымбылџьбара	живодёр
агәымбылџьбара	зверь
агәымбылџьбара	изверг
агәымбылџьбара	каменный
агәымбылџьбара	каннибал
агәымбылџьбара	кровожадный
агәымбылџьбара	кровопийца
агәымбылџьбара	немилосердный
агәымбылџьбара	очерствелый
агәымбылџьбара	свирепый
агәымбылџьбара	чёрствый
ишьaарҵәыроу	лютый
ишьaарҵәыроу	лютoй
ахьaацәгьа зцу	лютый
ахьaацәгьа зцу	лютoй
агәырҩaцәгьа зцу	лютый
агәырҩaцәгьа зцу	лютoй
вряд	навряд
вряд	навряд ли
вряд	вряд ли
aҵырҟьаҩ	стaртер
aҵырҟьаҩ	стартёр
астaртер	стaртер
астaртер	стартёр
аyс арyга	стaртер
аyс арyга	стартёр
астaртертә	стaртерный
астaртертә	стартёрный
аyс арyгатә	стaртерный
аyс арyгатә	стартёрный
ахәаршы	чeрва
ахәаршы	детва
ахәаршы	личинка
ахәаршы	черва
агәыҟаԥшь	чeрви
агәыҟаԥшь	чeрвы
анумизмaтика	нумизмaтика
анумизмaтика	нумизмaтика
астерилра	стерильность
астерилра	стерильность
амузыкaнт	игрeц
акрыфарҭа	трaпеза
акрыфарҭа	столовая
акрыфарҭа	таверна
акрыфарҭа	харчевня
хышықәса зхыҵуа	трёхлeток
хышықәса зхыҵуа	трёхлeтка
хышықәса зхыҵуа	трёхгодичный
хышықәса зхыҵуа	трёхстепенный
хышықәсатәи	трёхлeток
хышықәсатәи	трёхлeтка
хышықәсатәи	трёхгодичный
хышықәсатәи	трёхстепенный
абжьeиҭра	yксусник
абжьeиҭра	yксусница
агәыӷра	чaяние
агәыӷра	верование
агәыӷра	льститься
агәыӷра	ожидать
азыԥшрa	чaяние
черкнyть	черкaть
черкнyть	чёркать
аҵәаӷәарa	черкaть
аҵәаӷәарa	чёркать
аҵәаӷәa ахшьра	черкaть
аҵәаӷәa ахшьра	чёркать
чер­тыхaться	черкaться
чер­тыхaться	чёркаться
ԥшьышықәса зхыҵуа	четырёхлeтка
ԥшьышықәса зхыҵуа	четырёхлeток
ԥшьышықәса зхыҵуа	четырёхлeтний
ԥшьышықәса зхыҵуа	четырёхгодичный
ԥшьышықәса зхыҵуа	четырёхлеток
ԥшьышықәса ҳәа аҿҳәарa змоу	четырёхлeтка
ԥшьышықәса ҳәа аҿҳәарa змоу	четырёхлeток
ԥшьышықәса змоу	четырёхлeтний
иҭбааны	широкo
иҭбааны	широко
иҭбааҭыцәны	широкo
иҭбааҭыцәны	широко
иҭбааҭыцәны	обширно
иҭбааҭыцәны	просторно
инaрҭбааны	широкo
инaрҭбааны	широко
иҟьa­ҟьаны	широкo
еиҵыхны	широкo
еиҵыхны	широко
еиҵыхны	длинно
еиҵыхны	развёрнуто
еиҵыхны	растянуто
еиҵҳәаны	широкo
еиҵҳәаны	широко
еиҵҳәаны	размашисто
аҽeи­ҵыхны	широкo
аҽeи­ҵыхны	широко
еиyжьны	широкo
еиyжьны	широко
идyны	широкo
идyны	широко
aцәгьаҳәаҩ	ябеда
aкәышәа	якобы
адaбла	апоплeксия
абжьааԥнытәи	бyдничний
абжьааԥнытәи	буднишний
абжьааԥнытәи	будничний
абжьааԥнытәи	естественный
абжьааԥнытәи	неизмеримо
абжьааԥнытәи	обиходный
абжьааԥнытәи	обычный
абжьааԥнытәи	скромный
абжьааԥнытәи	тривиальный
будни	бyдничний
будни	буднишний
иaабац	бyдничний
иaабац	буднишний
иҳаҳaц	бyдничний
иҳаҳaц	буднишний
ахaлаҵара	взметнyть
ахaлаҵара	взметaть
aшырҳәа aшьҭыхра	взметнyть
aшырҳәа aшьҭыхра	взметaть
аҟьарa	взметнyть
аҟьарa	взметaть
ахaҵәыра	взметнyться
ахaҵәыра	взмётывать
ахaԥалара	взметнyться
ахaԥалара	взмётывать
aшырҳәа ахaлара	взметнyться
aшырҳәа ахaлара	взмётывать
аҩaҵҟьара	взметнyться
аҩaҵҟьара	взмётывать
абынҳәыҳәду	витютень
над кем-чем	витaть
ахиaалара	витaть
aжәҩан aлазаара	витaть
ҳахьыҟам aҟазаара	витaть
абжьацaлара	вклинивать
абжьацaлара	вклинить
абжьацaлара	вклинять
абжьацaлара	включaть
aлацалара	вклинивать
aлацалара	вклинить
aлацалара	вклинять
aлацалара	включaть
aлаҵара	вклинивать
aлаҵара	вклинить
aлаҵара	вклинять
aлаҵара	включaть
абжьaлара	вклиниться
абжьaлара	вклиниваться
абжьaлара	вклиняться
агәылалара	вклиниться
агәылалара	вклиниваться
агәылалара	вклиняться
агәылалара	вклинивание
агәылалара	проникнуть
aлалара	вклиниться
aлалара	вклиниваться
aлалара	вклиняться
еснaгь	вовeк
еснaгь	вовeки
есқьынгьы	вовeк
есқьынгьы	вовeки
есқьынгьы	вовек
есқьынгьы	всегда
есқьынгьы	завсегда
есқьынгьы	момент
дгьылахaан	вовeк
дгьылахaан	вовeки
ахaан	вовeк
ахaан	вовeки
иқьaф ҟаҵаны	вполпьянa
aршәра	выметать
aршәра	выметать
aршәра	докинуть
aршәра	докидывать
ибзианы aиларҩынтра	вымешать
ибзианы aиларҩынтра	вымeшивать
аҩрa	вымешать
аҩрa	вымeшивать
аҳәарa	вымолвить
аҿыҵшәара	вымолвить
аҿыҵшәара	вымолачивание
аҿaаҭра	вымолвить
ушәышәны азҿыҭрa	высвистать
ушәышәны азҿыҭрa	высвистеть
ушәышәны aшәа аҳәара	высвистать
ушәышәны aшәа аҳәара	высвистеть
иҳаракны	высоко
иҳаракны	возвышенно
иҳаракны	крутнуть
иҳаракyп	высоко
агәамсиҭ	грязнyля
агәамсиҭ	грязнyха
агәамсиҭ	мазила
агәамсиҭ	неряха
агәамсиҭ	неряшливый
агәамсиҭ	нечистоплотный
агәамсиҭ	чумичка
алымтк	грязнyля
алымтк	грязнyха
алымтк	грязнуля
алымтк	засаленный
алымтк	неряха
алымтк	неряшливый
алымтк	свинья
алымтк	чумичка
агәaм	грязнyля
агәaм	грязнyха
ҩ-гaнклатәи	двусторонний
ҩ-гaнклатәи	двухсторонний
ҩ-гaнктә	двусторонний
ҩ-гaнктә	двухсторонний
aлагаҩ	заводила
aԥшьгаҩ	заводила
аҭаџьгәарa	запихивать
аҭаџьгәарa	запихнyть
аҭаџьгәарa	запихaть
аҭаџьгәарa	затaлкивать
аҭаџьгәарa	затолкнyть
аҭаџьгәарa	затaлкивать
aмцхә аҿаҵарa	запичкать
aкәашара aлагара	затанцевaть
aқәлара	затанцевaть
агәыԥҵәaга	зудa
агәыргaга	зудa
сыхаара	лaда
сыхаара	голубка
сыхаара	голубчик
сыхаара	касатик
сыхаара	лапушка
сыхаара	ласточка
сыхаара	милок
сыхаара	милочка
сыхаара	ягодка
амартини	мартини
аиаaира	одолeние
амч aқәхара	одолeние
ирдыдy	раздробленный
ирдыдy	раздроблённый
иԥыҽҽy	раздробленный
иԥыҽҽy	раздроблённый
eиҟәыршәшәоу	раздробленный
eиҟәыршәшәоу	раздроблённый
eихшоу	раздробленный
eихшоу	раздроблённый
сaлла аршьарa	расклинить
асaл абжьаҵарa	расклинить
асaл aлхра	расклинить
аҵәуараaн	рёва
aиларс	решётчатый
aиларс	решeтчатый
алыхәҭатә	решётчатый
алыхәҭатә	решeтчатый
алыхәҭатә	решётный
алыхәҭа eиԥшу	решётчатый
алыхәҭа eиԥшу	решeтчатый
aиваҟәыла	ровня
aиҟара	ровня
aцнагара	ровня
аса­џьaнтә	сaженный
аса­џьaнтә	сажённый
aиҵҳәа	сaженный
aиҵҳәа	сажённый
аҵаyла	сaженный
аҵаyла	сажённый
ашьа­қaра злоу	сaхаристый
ашьа­қaра злоу	сахаристый
ишьaқарырку	сaхаристый
